timestamps,TP9,AF7,AF8,TP10,Right AUX
1731796503.175,664.062,-817.871,-302.734,-1000.000,0.000
1731796503.179,-934.082,231.445,-293.457,-1000.000,0.000
1731796503.183,-576.172,-1000.000,-405.762,-1000.000,0.000
1731796503.187,-1000.000,-517.090,-438.477,-1000.000,0.000
1731796503.191,367.188,-969.727,-370.605,-1000.000,0.000
1731796503.195,-797.363,687.500,-274.414,-1000.000,0.000
1731796503.199,112.305,-928.711,-199.219,-1000.000,0.000
1731796503.203,-1000.000,-928.223,-184.082,-1000.000,0.000
1731796503.207,-386.230,766.602,-140.625,-1000.000,0.000
1731796503.210,-924.805,967.285,-45.410,-1000.000,0.000
1731796503.214,750.000,-762.695,-76.172,-1000.000,0.000
1731796503.218,-887.207,-1000.000,-160.645,-1000.000,0.000
1731796503.222,-957.520,608.887,-139.160,-1000.000,0.000
1731796503.226,748.047,-824.219,-51.270,-1000.000,0.000
1731796503.230,-992.676,-153.809,64.453,-1000.000,0.000
1731796503.234,-708.008,-1000.000,74.707,-1000.000,0.000
1731796503.238,-1000.000,124.512,44.922,-1000.000,0.000
1731796503.242,664.062,-806.641,95.215,-1000.000,0.000
1731796503.246,-955.078,305.176,176.758,-1000.000,0.000
1731796503.250,-544.434,-1000.000,44.922,-942.871,0.000
1731796503.253,-1000.000,-602.051,-98.145,-1000.000,0.000
1731796503.257,80.078,956.543,-29.297,-961.426,0.000
1731796503.261,-824.219,934.082,28.809,616.699,0.000
1731796503.265,410.156,-739.746,-25.879,295.898,0.000
1731796503.269,-1000.000,-968.750,-119.141,-1000.000,0.000
1731796503.273,-755.371,757.812,-113.770,-928.223,0.000
1731796503.277,878.906,-972.168,-151.855,631.348,0.000
1731796503.281,978.516,-623.535,-154.785,979.004,0.000
1731796503.285,-701.660,-1000.000,-83.984,-746.094,0.000
1731796503.289,-1000.000,487.305,-62.012,-1000.000,0.000
1731796503.292,652.832,-884.766,-20.020,514.648,0.000
1731796503.296,-902.344,-365.234,-14.160,-854.004,0.000
1731796503.300,-548.340,-1000.000,-53.223,-367.676,0.000
1731796503.304,-1000.000,-172.363,-25.391,-1000.000,0.000
1731796503.308,436.523,-905.273,15.625,131.348,0.000
1731796503.312,-782.227,349.121,53.223,-813.477,0.000
1731796503.316,221.680,-1000.000,77.637,612.305,0.000
1731796503.320,-1000.000,-873.535,19.531,-962.891,0.000
1731796503.324,-212.402,770.508,61.035,-600.098,0.000
1731796503.328,-872.559,856.934,79.590,-994.629,0.000
1731796503.332,805.176,-840.820,122.070,942.871,0.000
1731796503.335,-821.289,-1000.000,186.035,-726.074,0.000
1731796503.339,-872.070,674.805,191.406,-917.969,0.000
1731796503.343,867.188,-985.840,249.023,790.527,0.000
1731796503.347,983.398,-673.828,309.082,-912.109,0.000
1731796503.351,-709.473,-1000.000,305.664,-554.199,0.000
1731796503.355,-1000.000,395.020,298.340,-1000.000,0.000
1731796503.359,620.117,-801.758,319.824,579.590,0.000
1731796503.363,-823.242,264.648,378.418,-771.484,0.000
1731796503.367,-377.441,-1000.000,333.008,79.590,0.000
1731796503.371,-1000.000,-417.969,305.664,-1000.000,0.000
1731796503.375,446.289,-919.922,464.355,261.230,0.000
1731796503.378,-767.578,655.273,450.684,-783.691,0.000
1731796503.382,527.832,-944.824,376.465,732.910,0.000
1731796503.386,-941.895,-896.973,396.973,-825.684,0.000
1731796503.390,-60.059,785.645,430.176,-502.441,0.000
1731796503.394,-823.242,994.141,444.824,-933.105,0.000
1731796503.398,871.582,-708.984,406.250,918.945,0.000
1731796503.402,-697.754,-1000.000,340.820,-691.406,0.000
1731796503.406,-838.867,651.367,350.098,-993.164,0.000
1731796503.410,894.531,-954.590,456.055,683.105,0.000
1731796503.414,-966.797,-574.707,457.031,-849.121,0.000
1731796503.417,-613.281,-1000.000,458.008,-460.449,0.000
1731796503.421,-1000.000,218.750,467.773,-1000.000,0.000
1731796503.425,588.379,-819.336,503.418,564.453,0.000
1731796503.429,-774.414,231.934,549.316,-769.531,0.000
1731796503.433,-77.148,-1000.000,521.484,318.359,0.000
